Nth, string addition, bignum fast doubling 
0 ,8891,10571
1 ,3115,4048
2 ,4092,2360
3 ,5794,3881
4 ,8130,3085
5 ,9408,3026
6 ,11113,2978
7 ,12868,3237
8 ,14598,3327
9 ,18003,3377
10 ,18612,3286
11 ,20280,3829
12 ,22031,3636
13 ,23815,5695
14 ,25518,3419
15 ,27243,3301
16 ,28963,3441
17 ,30728,3622
18 ,32508,3481
19 ,34233,3466
20 ,37470,3446
21 ,38251,3557
22 ,39980,3527
23 ,41714,3490
24 ,43469,3463
25 ,45131,3675
26 ,46885,3634
27 ,48630,3682
28 ,50362,3511
29 ,52152,5232
30 ,53774,3622
31 ,55510,3630
32 ,57258,3731
33 ,58953,3725
34 ,60696,3721
35 ,62446,3785
36 ,66614,3764
37 ,65972,3788
38 ,67683,3771
39 ,69375,3766
40 ,71094,3770
41 ,75462,3792
42 ,75559,3757
43 ,77288,3830
44 ,79016,3765
45 ,80710,5637
46 ,82420,3839
47 ,84189,3806
48 ,85947,3800
49 ,87677,3762
50 ,89426,3849
51 ,91133,3866
52 ,92900,3801
53 ,94619,3836
54 ,96369,3861
55 ,98058,3871
56 ,99770,3898
57 ,101551,3899
58 ,103185,3849
59 ,104964,3841
60 ,106737,3929
61 ,108479,5281
62 ,110242,3894
63 ,112303,3869
64 ,113695,4055
65 ,115402,4079
66 ,117202,4026
67 ,118845,4022
68 ,120580,4014
69 ,122305,4091
70 ,124089,4068
71 ,125788,4069
72 ,127531,4060
73 ,129308,4083
74 ,133230,4137
75 ,132803,4143
76 ,134526,4088
77 ,136185,5511
78 ,138038,4153
79 ,139729,4168
80 ,141401,4112
81 ,143159,4113
82 ,144903,4118
83 ,146586,4152
84 ,153784,4154
85 ,151952,4147
86 ,153858,4151
87 ,155552,4137
88 ,158067,4133
89 ,158976,4175
90 ,160860,4181
91 ,162282,4177
92 ,164045,4160
93 ,165675,5632
94 ,167570,4395
95 ,169303,4308
96 ,171041,4272
97 ,172706,4231
98 ,174441,4285
99 ,178518,4310
100 ,177907,4210
101 ,179694,4221
102 ,181497,4287
103 ,183226,4339
104 ,184942,4264
105 ,186569,4253
106 ,188298,4232
107 ,190042,4317
108 ,191776,4278
109 ,193528,5790
110 ,195846,4319
111 ,196961,4306
112 ,198707,4324
113 ,200456,4269
114 ,202188,4270
115 ,203995,4331
116 ,205668,4290
117 ,207232,4376
118 ,209064,4369
119 ,213160,4363
120 ,212675,4304
121 ,214319,4336
122 ,216002,4374
123 ,217763,4403
124 ,219545,4350
125 ,221241,5910
126 ,222991,4354
127 ,224748,4460
128 ,226392,4554
129 ,228251,4500
130 ,229939,4555
131 ,231585,4614
132 ,233332,4591
133 ,235091,4566
134 ,236955,4590
135 ,238597,4574
136 ,242364,4583
137 ,242115,4595
138 ,243745,4613
139 ,245525,4563
140 ,247235,4561
141 ,248949,6190
142 ,250695,4718
143 ,252393,4658
144 ,254181,4626
145 ,255908,4570
146 ,257661,4644
147 ,259323,4623
148 ,261032,4595
149 ,262877,4644
150 ,264939,4656
151 ,268438,4675
152 ,268455,4659
153 ,269939,4669
154 ,271787,4615
155 ,273347,4736
156 ,275133,4685
157 ,276943,6076
158 ,278554,4696
159 ,280124,4713
160 ,281907,4737
161 ,283767,4669
162 ,285413,4629
163 ,287162,4683
164 ,288797,4653
165 ,292798,4686
166 ,292429,4691
167 ,293974,4671
168 ,295759,4631
169 ,307874,4649
170 ,303180,4778
171 ,304944,4707
172 ,306604,4686
173 ,308440,6171
174 ,310066,4801
175 ,311853,4773
176 ,313619,4660
177 ,315357,4648
178 ,319074,4689
179 ,318790,4766
180 ,320531,4768
181 ,322359,4760
182 ,323948,4749
183 ,325612,4760
184 ,327481,4785
185 ,329131,4873
186 ,330851,4849
187 ,332628,4880
188 ,334271,5041
189 ,336578,6575
190 ,341147,5057
191 ,340978,5008
192 ,341891,4959
193 ,343419,4900
194 ,345904,5004
195 ,347807,4896
196 ,348963,4862
197 ,350707,4862
198 ,352055,4887
199 ,353595,4877
